Issue#,,,
3154,,,
3915,,,
3915,,,
3974,,,
4199,,,
4075,,,
4450,,,
3956,technical help,answer,
3180,,,
4450,,,
1702,,,
2003,technical help,answer,
4695,,,
3218,,,
943,,,
4833,,,
4844,,,
4701,,,
4851,,,
5144,,,
5170,,,
5170,,,
3784,,,
5218,,,
5244,,,
2805,,,
4649,,,
5285,,,
5617,,,
5556,,,
5209,technical help,answer,
3377,,,
943,,,
5054,,,
1678,,,
6001,,,
5560,,,
4825,,,
6320,,,
6334,,,
6377,,,
4772,technical help,question,
6461,,,
3158,,,
4479,,,
6699,,,
4597,,,
4824,,,
7022,,,
6762,,,
6864,technical help,answer,
6762,,,
7022,,,
1902,,,
7192,,,
7235,,,
6220,technical help,answer,awareness
6893,,,
6893,,,
7273,,,
7353,technical help,question,
4395,,,
7353,,,
7353,,,
7587,,,
7510,,,
7655,,,
7273,,,
7551,,,
7587,,,
7066,technical help,question,
7348,,,
7564,,,
7304,,,
4962,,,
6845,,,
7328,,,
5925,,,
6955,technical help,answer,
7377,,,
7829,,,
8454,,,
7977,,,
8084,,,
8084,,,
6864,,,
7548,,,
8847,,,
8908,,,
9020,,,
9259,inquiry about state,,
5199,,,
4597,,,
7273,,,
9422,,,
5199,technical help,question,
9565,,,
9544,,,
9624,,,
9560,,,
7688,,,
8868,,,
4707,,,
4707,,,
9939,technical help,answer,
7179,,,
9746,,,
9544,,,
7283,,,
6144,,,
6332,,,
4395,,,
4395,,,
9340,,,
8958,,,
10309,,,
10457,,,
10413,,,
10609,,,
9518,,,
11300,GitterActivity,,
9733,,,
6186,,,
11507,technical help,,
11507,,,
7063,,,
7192,,,
9659,,,
4910,,,
12991,,,
13045,GitterActivity,,
13075,,,
13213,,,
13072,,,
10418,,,
11628,technical help,solution did not work,
